,id,polarity,nature,emotion
0,487360225654374401,=,,
1,487387097222098944,-,,
2,487387321537269761,=,INFORMATION,
3,487427969728921600,-,OPINION,
4,487446391052972032,+,OPINION,VALORISATION
5,487454149018013696,=,INFORMATION,
6,487459955037835264,=,INFORMATION,
7,487468182526234626,-,OPINION,DESACCORD
8,487473076943478784,=,INFORMATION,
9,487481587823812609,+,,
10,487483190991679488,+,EMOTION,PLAISIR
11,487493504634216448,+,,
12,487494900397924352,+,,
13,487497470529003520,=,INFORMATION,
14,487501667605417984,+,,
15,487501751302373377,=,INFORMATION,
16,487501858957967360,=,INFORMATION,
17,487502035315851264,-,OPINION,DEVALORISATION
18,487504370993356800,-,EMOTION,MEPRIS
19,487505256360599557,=,INFORMATION,
20,487505489019043840,+,OPINION,VALORISATION
21,487508228943527936,-,EMOTION,MEPRIS
22,487508475980021760,=,INFORMATION,
23,487508850917257216,-,,
24,487509816605417472,=,INFORMATION,
25,487510962342072321,=,INFORMATION,
26,487517523987136512,=,INFORMATION,
27,487518713491386368,+,,
28,487520792570507264,-,SENTIMENT,INSATISFACTION
29,487520828452773888,-,,
30,487521965876736001,+,OPINION,VALORISATION
31,487524210684604416,=,INFORMATION,
32,487525002812866560,=,INFORMATION,
33,487525271801987072,=,INFORMATION,
34,487526173849579520,=,INFORMATION,
35,487528478296649730,+,,
36,487529433272967168,+,,
37,487532729253101568,+,OPINION,VALORISATION
38,487537297991434240,-,,
39,487539383575511040,+,OPINION,VALORISATION
40,487546662488141824,=,INFORMATION,
41,487548746482606080,=,INFORMATION,
42,487549421090267136,+,OPINION,VALORISATION
43,487552473218166784,=,INFORMATION,
44,487556242856878080,-,,
45,487557057910820864,-,,
46,487562964216459265,+,OPINION,VALORISATION
47,487571265536811009,=,INFORMATION,
48,487575029795004417,-,OPINION,DEVALORISATION
49,487577430492987392,-,,
50,487577849206165504,-,,
51,487578621180379136,=,INFORMATION,
52,487584058239901696,=,INFORMATION,
53,487585721411461120,=,INFORMATION,
54,487585767074840577,=,INFORMATION,
55,487588117856407553,=,INFORMATION,
56,487589240998752256,=,INFORMATION,
57,487589554556116994,=,INFORMATION,
58,487592818333216768,-,EMOTION,MEPRIS
59,487593337298620416,=,INFORMATION,
60,487594455198093312,=,INFORMATION,
61,487596165056049152,-,OPINION,DESACCORD
62,487597876873547776,+,OPINION,ACCORD
63,487607269081620482,+,,
64,487609702365556736,=,INFORMATION,
65,487611721507684353,-,OPINION,DEVALORISATION
66,487616435057750016,=,INFORMATION,
67,487618646412230656,+,OPINION,VALORISATION
68,487620583249965056,=,INFORMATION,
69,487620938478129152,+,SENTIMENT,SATISFACTION
70,487625375913349120,=,INFORMATION,
71,487629086530236416,-,,
72,487630093020581888,=,INFORMATION,
73,487637657422692352,=,INFORMATION,
74,487642868308144130,=,INFORMATION,
75,487643906377805824,-,,
76,487645387386146816,=,INFORMATION,
77,487650553481412608,+,,
78,487663031367655425,=,INFORMATION,
79,487673896359841792,=,INFORMATION,
80,487688259070607360,-,,
81,487690934034132992,+,,
82,487695535122681856,+,OPINION,VALORISATION
83,487702882138198016,+,SENTIMENT,SATISFACTION
84,487702956238987264,=,INFORMATION,
85,487713701706092544,-,OPINION,DESACCORD
86,487719708767318016,=,INFORMATION,
87,487735557334659072,-,,
88,487737054848380928,+,OPINION,VALORISATION
89,487808416279429120,=,INFORMATION,
90,487819326997946368,-,,
91,487831740212600832,-,EMOTION,PEUR
92,487857813499428864,=,INFORMATION,
93,487871522145857536,-,EMOTION,MEPRIS
94,487885800324227072,-,,
95,487887338790735872,+,,
96,487889930740170753,+,,
97,487894866136166400,-,EMOTION,COLERE
98,487908652133908480,=,INFORMATION,
99,487909998115422208,+,OPINION,ACCORD
100,487913148738187265,+,,
101,487924202310483968,+,,
102,487924407281922050,+,,
103,487937686003798016,-,OPINION,DEVALORISATION
104,487962279066210304,=,INFORMATION,
105,487967399556046848,-,EMOTION,COLERE
106,487970168593608705,-,,
107,487972109155860480,+,EMOTION,AMOUR
108,487975087698898944,+,,
109,487977898351927300,-,SENTIMENT,INSATISFACTION
110,487981102263717888,=,INFORMATION,
111,487983506505887744,=,INFORMATION,
112,487984193196937218,-,EMOTION,MEPRIS
113,487989174319194112,=,INFORMATION,
114,487990811595145216,+,OPINION,VALORISATION
115,487992142024171520,-,,
116,487994996612546560,-,,
117,487995533471256576,=,INFORMATION,
118,488002275055763456,-,,
119,488007662810845184,+,OPINION,VALORISATION
120,488008108254695424,+,OPINION,VALORISATION
121,488011176006021122,=,INFORMATION,
122,488046887707377664,+,,
123,488046891272527873,=,INFORMATION,
124,488055357689053184,-,,
125,488063616390668288,=,INFORMATION,
126,488063617510543361,+,EMOTION,APAISEMENT
127,488068002236354560,=,INFORMATION,
128,488071151307227136,+,SENTIMENT,SATISFACTION
129,488155698761854976,+,OPINION,ACCORD
130,488169021284446208,-,,
131,488219558268792832,-,,
132,488226867057803265,-,,
133,488226875605778433,=,INFORMATION,
134,488233179929919488,+,OPINION,VALORISATION
135,488234608669233152,=,INFORMATION,
136,488235830109290496,+,,
137,488237818909851648,+,,
138,488240907821789184,=,INFORMATION,
139,488251742560464896,+,OPINION,VALORISATION
140,488257703463366656,-,,
141,488259842415812608,+,,
142,488260903583121408,+,OPINION,VALORISATION
143,488262960318775296,=,INFORMATION,
144,488264796542730240,=,INFORMATION,
145,488267573977300993,-,,
146,488267630017802240,=,INFORMATION,
147,488270201255755778,-,,
148,488270492357623808,+,SENTIMENT,SATISFACTION
149,488276254848974848,+,OPINION,VALORISATION
150,488283314151620608,+,OPINION,VALORISATION
151,488284598078803968,=,INFORMATION,
152,488286167423787010,+,,
153,488289260660097024,+,OPINION,VALORISATION
154,488290003731353600,=,INFORMATION,
155,488290496285270016,=,INFORMATION,
156,488293059915182080,+,OPINION,VALORISATION
157,488294492785872896,-,,
158,488295940646653953,+,OPINION,VALORISATION
159,488296582392324096,-,,
160,488298657146359808,+,OPINION,VALORISATION
161,488298705934495745,-,,
162,488301850354253824,=,INFORMATION,
163,488305929192878081,=,INFORMATION,
164,488307415016677376,=,INFORMATION,
165,488308719915376640,=,INFORMATION,
166,488317644743778304,+,OPINION,VALORISATION
167,488320510191599616,+,EMOTION,SURPRISE_POSITIVE
168,488326326689214464,+,,
169,488327066392469504,+,OPINION,VALORISATION
170,488332496078372864,=,INFORMATION,
171,488332647912185856,=,INFORMATION,
172,488333202072014848,-,OPINION,DESACCORD
173,488333883201445888,-,EMOTION,PEUR
174,488340877946142721,-,,
175,488343189237948416,=,INFORMATION,
176,488352215405314049,+,OPINION,ACCORD
177,488353485344505856,-,,
178,488355123802824704,-,,
179,488357032181788673,=,INFORMATION,
180,488357242224525312,=,INFORMATION,
181,488359809826422784,=,INFORMATION,
182,488369311896338432,=,INFORMATION,
183,488371068843749376,+,OPINION,VALORISATION
184,488372111652966401,=,INFORMATION,
185,488372232037892096,+,,
186,488377313944666112,+,OPINION,VALORISATION
187,488380501074669568,=,INFORMATION,
188,488384178288078848,-,,
189,488384321083166720,+,OPINION,VALORISATION
190,488384715741601792,-,,
191,488389360929083392,=,INFORMATION,
192,488392451737284609,-,EMOTION,MEPRIS
193,488394736391446528,+,OPINION,VALORISATION
194,488395716721917953,-,EMOTION,MEPRIS
195,488399740938092544,=,INFORMATION,
196,488409498072403970,-,,
197,488416309034893312,-,EMOTION,COLERE
198,488417103054397440,=,INFORMATION,
199,488423557912096768,-,EMOTION,MEPRIS
200,488432124328820737,=,INFORMATION,
201,488433034358947840,+,OPINION,VALORISATION
202,488439786785746944,+,,
203,488451618040713216,-,,
204,488456600365981696,-,,
205,488463060437585921,+,OPINION,VALORISATION
206,488485384268283904,+,OPINION,VALORISATION
207,488500311674593280,-,EMOTION,MEPRIS
208,488510377081065472,=,INFORMATION,
209,488522074282295296,+,OPINION,ACCORD
210,488531138181201920,=,INFORMATION,
211,488535149349310464,-,EMOTION,MEPRIS
212,488552695121584128,=,INFORMATION,
213,488561054075879424,+,,
214,488564932091609088,+,OPINION,ACCORD
215,488568027324375041,=,INFORMATION,
216,488568164310331392,-,,
217,488570965400776704,=,INFORMATION,
218,488573703400460288,-,,
219,488574915067801601,+,OPINION,VALORISATION
220,488578293176999937,-,,
221,488580969243623424,=,INFORMATION,
222,488582425078165504,=,INFORMATION,
223,488588325859901440,=,INFORMATION,
224,488588874063839232,+,SENTIMENT,SATISFACTION
225,488589238431014912,=,INFORMATION,
226,488589302243553280,+,EMOTION,SURPRISE_POSITIVE
227,488589981342912512,-,EMOTION,MEPRIS
228,488593943429668864,=,INFORMATION,
229,488594066821505026,=,INFORMATION,
230,488598096654655488,=,INFORMATION,
231,488600520702308352,+,OPINION,VALORISATION
