id,pol_symbol,nature,emotion,text,polarity
520116650243555328,+,,,Peut être le début d  '  une boucle de réactions en cascade liée au réchauffement climatique  .   C  '  est rassurant  .,1
489942928811249665,=,INFORMATION,,La filière éolienne québécoise à repenser  via _lapresse,2
488600180435206144,+,OPINION,VALORISATION,Favoriser la biodiversité pour un jardin plus vivant   !,1
507158526125301761,=,INFORMATION,,ecologie Répartition du produit des amendes de police   :   une instruction procède au recensement,2
488893795791282176,=,INFORMATION,,vu sur  RT et je te follow,2
520294281589039105,=,INFORMATION,,"Nouveau post  :   Les Energies Renouvelables En Algérie  .   UNI-VERT , Canal Algérie   (  ENTV  )   -",2
505422819275341826,=,INFORMATION,,"Et après ça, qu  '  on ne nous dise pas que les plus divisés, ce sont les écologistes    .    .    .    UEPS",2
519228740061384704,-,EMOTION,SURPRISE_NEGATIVE,c  '  est ce que m  '  a dit un maire qui a installé sur sa commune un nb d  '  éoliennes Ça m  '  a étonnée  !,0
507157295461969920,+,OPINION,VALORISATION,"Barrage de Sivens   :   Non à la répression, oui à l’intérêt général | Europe Écologie Les Verts  via",1
489419815367364609,+,SENTIMENT,,oui les voitures de + de 20 ans circulent mais doivent passer des tests d  '  émission de CO2 à chaque renouvellement de plaque,1
489355523263692800,=,INFORMATION,,ecologie GEMAPI   :   l  '  Italie et l  '  Espagne aussi…,2
520175335758102528,-,EMOTION,PEUR,"PATRIMOINE Le fromage, espèce menacée   .    .    .",0
520443808434360320,=,INFORMATION,,"""Ségolène Royal est la Ministre de l  '  Ecologie d  '  un gouvernement qui a décidé de ne pas en faire""   :   Noël Mamère , ce jour   .    .    .      .    .    .",2
488023787062198274,-,EMOTION,MEPRIS,LA MINISTRE DE L  '  ECOLOGIE SE DECHAINE CONTRE LES LOUPS DE FRANCE  Biodiversité Animaux Loup Ecologie,0
507387825361154048,+,OPINION,VALORISATION,Innovation et Développement Durable pour une innovation porteuse de progrès et de croissance grâce au Design Thinking,1
507319084141514753,+,OPINION,VALORISATION,"Actus énergie   :   Patrimoine culturel, patrimoine naturel   l  '  honneur des Journes europennes du patrimoine",1
487451085238321152,+,OPINION,VALORISATION,L  '  énergie nucléaire apparaît comme l  '  un des facteurs qui permettront de réduire l  '  intensité carbone  via,1
520465563072884736,=,INFORMATION,,"Ségolène Royal  :   ""Une partie des revenus de l  '  écotaxe serait allée à une entreprise privée italienne"" bfmtv écologie EELV",2
520655374580740096,=,INFORMATION,,Blague de Tumblr  :   ce qu  '  on retient de l  '  école c  '  est essentiellemt que les mitochondries sont la centrale électrique de la cellule,2
507057454429908992,=,INFORMATION,,méthane s  '  échappe de l  '  Atlantique - 7SUR7  .  be  via  Le point sur les hydrates de méthane,2
490050904801157120,+,OPINION,VALORISATION,Wallonie   :   les énergies vertes continuent de progresser |  via,1
488948157150416896,=,INFORMATION,,Allahou akbar ils utiliseront des tapis volants c  '  et plus écologique Libye,2
505839459758522368,=,INFORMATION,,Et ceux qui sont nés écologistes peuvent arrêter de l  '  être VS l  '  inverse Duflot ONPC,2
488421493903482880,=,INFORMATION,,“  :   Une roquette palestinienne s  '  écrase sur la centrale électrique israélienne qui fournit Gaza en électricité  .   C  '  est balo  .  ” LoooooL,2
518802196960247811,+,,,Changement climatique   :   les jeunes s’impliquent – 04/10/2014 – LaDépêche  .  fr,1
507170061489295360,=,INFORMATION,,Leclanché et EPFL testent un nouveau système de stockage d  '  énergie solaire |  via,2
519479582853169152,=,INFORMATION,,2 minutes pour comprendre le changement climatique et ses conséquences avec  et    :,2
488987847945236480,+,,,Où la nature évolue toute seule |  Environnement Biodiversité Jura,1
507196033151954944,-,EMOTION,PEUR,biodiversité Les pêcheurs artisanaux de plus en plus menacés dans le monde - Magazine GoodPlanet Info,0
489075112285839360,+,OPINION,VALORISATION,Luxembourg  :   Sensibilisation aux abeilles et à la biodiversité  :,1
518314944417501185,=,INFORMATION,,"CTO   ?   ""_LeGoff  :   contribuez  ""le CTO  est a l  '  interface entre l  '  état et l  '  écosystème numérique""""",2
490030475361406976,=,INFORMATION,,"Le CFA Régional des Métiers de l’Environnement et du Développement Durable, propose, depuis septembre 2010, une   .    .    .",2
520837460923023360,-,OPINION,DEVALORISATION,1er Salon du nucléaire au Bourget indécent au lendemain de tchernobyl et fukushima   !,0
488270578478899200,-,OPINION,DESACCORD,planete  .   Les OGM et la panne de la biodiversité agricole  :   Le chercheur Pierre-Henri Gouyon conteste   .    .    .       .,0
488045757790826496,=,INFORMATION,,5e Rapport d  '  évaluation du GIEC sur le changement climatique  :   implications pour l  '  agriculture  :   En    .    .    .     DevDurable,2
489673900326793217,=,INFORMATION,,La ville et la transition écologique Archives | Courrier des maires,2
520173063821094913,=,INFORMATION,,Le DM ne veut pas partir   :   sur le sujet moyen orient post pétrole y  '  a déjà des trucs de ce style,2
507254037667147778,-,EMOTION,PEUR,1 300 espèces menacées   :   comment les oiseaux sont en train de disparaître dans l  '  indifférence généra   .    .    .    |,0
507418905141596160,+,SENTIMENT,SATISFACTION,"Direct BFM   :   Ségolène Royal n  '  a pas plié devant Bourdin et ne parle que d  '  écologie  .   Dame de fer, chapeau  .",1
520542872253501440,+,OPINION,VALORISATION,Derniers jours pr rêver >Les + belles voitures au  >Escapade Partageco à Paris   .    .    .,1
520262977677963264,+,,,"Jrelisais ma leçon de geo et je vois que j  '  ai écris ""dénonciation de la flemme prise en compte de l  '  écologie "" j  '  ai pas tout compris 😂",1
520077710253895680,-,EMOTION,PEUR,"“ Un vautour royal, espèce menacée originaire d  '  Amérique centrale et du sud, au zoo de LA   Il a l  '  air un peu con   .    .    .",0
506728835162071040,=,INFORMATION,,"En attendant la sortie ""imminente"" du nouveau magazine ""Habitat durable et énergies renouvelables en Vendée"" des   .    .    .",2
489817607839576064,+,SENTIMENT,,EDF Énergies Nouvelles Sous un vent favorable environnement montreal,1
506368325610266627,-,,,Une araignée géante sème la panique en Wallonie - 7SUR7  .  be  via,0
489417389055176704,+,OPINION,VALORISATION,Une invention ambitieuse pour filtrer le plastique des océans  plastique pollution océan déchet filtration,1
507198133235744768,-,,,ecologie Heurs et malheurs du combat écologiste mondial,0
506656735273054208,+,OPINION,VALORISATION,LaTeste Les avis divergent sur l’avenir du banc d’Arguin  :   Les écologistes ont émis un avis favorable au proje   .    .    .,1
