id,pol_symbol,nature,emotion,text,polarity
487830913032519681,=,INFORMATION,,Et pendant ce temps la elles tournent  via,2
505675738155347968,=,INFORMATION,,".    vous oubliez l  '  abbé Pierre responsable des SDF, les écolos responsables du réchauffement climatique,    .    .    .",2
519392800002297857,+,OPINION,VALORISATION,[  LoiRoyal  ]   le solaire  :   l  '  énergie la plus appréciée par les Français  VotreEnergie photovoltaique,1
506828044732878848,=,INFORMATION,,"คันหู วาเลนไทน์ 2010  :    via  OUI , le réchauffement climatique est une réalité mais cessont de nous en plaindre",2
488949864600829953,=,INFORMATION,,"Correze - MAISON A OSSATURE BOIS ECOLOGIQUE  :   La société ""Maisons Novella"", implantée en Bulgarie, est spéciali   .    .    .",2
507186346520485888,+,SENTIMENT,,Bâtiment Economie 1 800 Eco-Ecoles s  '  emparent du développement durable,1
520519933491675136,=,INFORMATION,,"Nice06    :   ""la labellisation de l  '  immeuble The Crown à ""Très Haute Performance Énergétique"", c  '  est du développement durable""",2
507343156325908480,+,OPINION,VALORISATION,Améliorer la performance énergétique d’un habitat      ecologie,1
488661782870114304,=,INFORMATION,,Il est vrai aussi que l  '  écologie serait sans doute moins absente des discours si les écologistes n  '  étaient pas absents du gouvernement   .    .    .,2
489163885535305728,=,INFORMATION,,"Et maintenant, on vaccine même les grenouilles, au nom de la biodiversité  !    :   Le champignon pathogène   .    .    .",2
487525239757500416,-,SENTIMENT,,Vie connectée et gaspillage via   :  appareils connectés en mode veille   :  un gâchis planétaire,0
488379356432302080,+,OPINION,ACCORD,"oui bah le foot, c  '  est totalement développement durable  .   Ils diffusent aussi sur la chaîne ELLV",1
488963679669731328,-,OPINION,DEVALORISATION,_Bio Meilleure montre à énergie solaire du marché  .   La nuit pose juste problème   :  /,0
507183914159718401,=,INFORMATION,,"Montre Seiko Chronographe SSC009P1, fonctionnant à l  '  énergie solaire, boîtier et bracelet en acier  .",2
507239572322152448,-,OPINION,DESACCORD,Communiqué de presse des Jeunes Ecologistes Non à la répression contre la ZAD du Testet   !   Face à la violence   .    .    .,0
507034107147481088,+,OPINION,VALORISATION,"Cela montre que le nucléaire n  '  est pas la panacée et qu  '  il faut diversifier les productions, notamment booster l  '  énergie alternative matin1",1
506800058289766401,+,,,La Cour supérieure juge que les travaux de TransCanada à Cacouna ne constituent pas une menace pour les bélugas,1
489781049325387777,=,INFORMATION,,Energie verte en région wallonne   :   Panneau solaire,2
519787864742039552,-,EMOTION,COLERE,_PORTEPAROLE Et la France elle fait quoi  ?   Rien   .    .   Si elle tue les espèces protégées    !    !    !    !    !     (  les loups en savent qq chose  !    ),0
520505367659573248,+,OPINION,ACCORD,Les députés ont voté l  '  objectif de montée en puissance des énergies renouvelables dans le mix énergétique  LoiRoyal,1
489713692138029057,=,INFORMATION,,Que la lumière soit   !    !,2
489101415894499328,+,OPINION,VALORISATION,Cette capsule suisse pour machine nespresso est un vrai bijou   [  mycoffeestar  ]   et écologique Horlogerie café colis reçu,1
520510227615985664,+,OPINION,ACCORD,L  '  Assemblée vote la réduction de la part du nucléaire à 50   %   d  '  ici 2025  environnement écologie DirectAN PS,1
519829005424685056,=,INFORMATION,,L  '  équipe  avec député Arnaud Leroy aux RIVE Rencontres Intl Voitures Écologiques SalonAutomobile,2
519806821406892032,=,INFORMATION,,Bilan énergétique de la France pour 2013    (  via   )   Energie Gaz nucléaire,2
519437495986294785,=,INFORMATION,,Terminator recu par Zizitator vendredi a l  '  Elysée   .    .    .      .    .    .   tout un programme écologiste   .    .    .      .    .    .,2
489450566012370944,-,SENTIMENT,,"Je suis en Normandie, et j  '  ai trop chaud  .   Foutu réchauffement climatique  .",0
520295639771803648,+,,,"Ecotaxe  :   Royal ""comprend"" la réaction des écologistes",1
520274651277434880,+,,,Art et culture retrouvés   (  pas la foutaise bobo  )   avec l  '  écologie locale   (  pas le gauchisme subventionné  )   seront le carburant de l  '  identité  .,1
506026660941275136,-,EMOTION,TRISTESSE,c  '  est dommage d  '  avoir tellement freiné les énergies alternatives    .    .    .,0
